Название товара;Артикул;Идентификатор товара в магазине;Остаток;Цена продажи;Старая цена;Закупочная цена
"Столовый сервиз на 6 персон ""Кимберли"", 21 пр.";AL-B17Q91G/21M-DS-E6;93428853;999;16490;;9211
"Столовый сервиз на 6 персон ""Кимберли"", 27 пр.";AL-B17Q91G/27M-E6;93428855;10;20190;;11233
"Чайный набор на 6 персон ""Кимберли"", 0.175 л, 12 пр.";AL-B17Q91G/12M-E6;93428852;0;3890;;2598
"Чайный сервиз на 6 персон ""Кимберли"", 21 пр.";AL-B17Q91G/21M-TS-E6;93428854;0;12090;;6728
"Столовый сервиз на 12 персон ""Баден"", 50 пр.";B-17005/50;75804326;;21790;;12117
"Столовый сервиз на 6 персон ""Баден"", 27 пр.";B-17005/27;75804321;;7590;;4276
"Чайный сервиз на 12 персон ""Баден"", 42 пр.";B-17005/42;75804340;;10500;;5880
"Чайный сервиз на 6 персон ""Баден"", 23 пр.";B-17005/23;75804334;;3790;;2166
"Столовый сервиз на 12 персон ""Бремен"", 50 пр.";B-17532/50;75804327;;21790;;12117
"Столовый сервиз на 6 персон ""Бремен"", 27 пр.";B-17532/27;75804322;;7590;;4276
"Чайный сервиз на 12 персон ""Бремен"", 42 пр.";B-17532/42;75804341;;10500;;5880
"Чайный сервиз на 6 персон ""Бремен"", 23 пр.";B-17532/23;75804335;;3790;;2166
"Столовый сервиз на 12 персон ""Гамбург"", 50 пр.";B-XW243/50;75804328;;21790;;12117
"Столовый сервиз на 6 персон ""Гамбург"", 27 пр.";B-XW243/27;75804323;;12000;;6682
"Чайный сервиз на 12 персон ""Гамбург"", 42 пр.";B-XW243/42;75804342;;10500;;5880
"Чайный сервиз на 6 персон ""Гамбург"", 23 пр.";B-XW243/23;75804336;;6000;;3385
"Столовый сервиз на 12 персон ""Кёльн"", 50 пр.";B-XW213Y/50;75804329;;17400;;9694
"Столовый сервиз на 6 персон ""Кёльн"", 27 пр.";B-XW213Y/27;75804324;;7590;;4276
"Чайный сервиз на 12 персон ""Кёльн"", 42 пр.";B-XW213Y/42;75804343;;10500;;5880
"Чайный сервиз на 6 персон ""Кёльн"", 23 пр.";B-XW213Y/23;75804337;;3790;;2166
"Столовый сервиз на 12 персон ""Кобург"", 50 пр.";B-XW242T/50-AL;75804330;;21790;;12117
"Столовый сервиз на 6 персон ""Кобург"", 27 пр.";B-XW242T/27-AL;75804320;;9600;;5346
"Чайный сервиз на 12 персон ""Кобург"", 42 пр.";B-XW242T/42-AL;75804333;;10500;;5880
"Чайный сервиз на 6 персон ""Кобург"", 23 пр.";B-XW242T/23-AL;75804332;;4800;;2708
"Столовый сервиз на 12 персон ""Линдау"", 50 пр.";B-70043R/50;75804331;;21790;;12117
"Столовый сервиз на 6 персон ""Линдау"", 27 пр.";B-70043R/27;75804325;;12000;;6682
"Чайный сервиз на 12 персон ""Линдау"", 42 пр.";B-70043R/42;75804344;;10500;;5880
"Чайный сервиз на 6 персон ""Линдау"", 23 пр.";B-70043R/23;75804338;;6000;;3385
Бокал для коньяка с подогревателем на подставке Медведь, 15х15х18 см;GA2059800AL;37006596;;8790;;4899
Ваза овальная с отделкой под золото/серебро 18х16 см;GA-VEN6001;93428959;7;4230;;2282
Ваза овальная с отделкой под серебро 18х16 см;GA-VEN2001;93428956;7;4490;;2377
Ваза с отделкой под розовое золото, 18 см, h3.5 см;GA3652;63732335;;2790;;1579
Вазочка 12 см на метал подносе с отделкой под розовое золото, 16х16х4 см;GA3095;63732336;;2590;;1450
Вазочка для варенья на металлическом подносе, 12 см, 16 см;GA2095AL;63732337;;2700;;1551
Вазочка с отделкой под розовое золото, 13 см;GA34162;63732338;;2090;;1206
Вазочка со свечой в форме розы, d12.5 см;GA2221300AL;63732340;;2290;;1303
Вазочка со свечой в форме розы, с отделкой розовое золото, d12.5 см;GA3221300AL;63732341;;2290;;1303
Икорница;GA2045006AL;17595512;9;5690;;3004
Икорница на ножке, 16х19.5 см;GA2054502AL;63732342;5;9640;;5365
"Конфетница 14 см. ""Маргарита""";GA2079206AL;17595410;;4900;;2758
Конфетница с ручкой 15 см.;GA2066002AL;17595407;;5490;;3057
Конфетница с ручкой Маргарита с отделкой под розовое золото, 14 см, h20 см;GA3079206;63732344;2;5500;;3061
Конфетница с ручкой с отделкой под розовое золото, 16 см, h17 см;GA3066002;63732346;;5790;;3249
Конфетница с ручкой с отделкой под розовое золото, 16 см, h17 см;GA3065502;63732345;;5790;;3249
Конфетница с ручкой с отделкой под серебро, 18 см;GA2066102;63732347;5;7290;;4098
Конфетница с ручкой с отделкой под серебро, 18 см;GA2065602;63732348;6;7290;;4098
Конфетница с ручкой, 16х18х22 см;GA2065502AL;63732343;;5490;;3057
Лопатка для торта;GA6038AL;17595286;999;1690;;994
"Лопатка для торта ""Фантазия"", 28х7х7 см";GA5038AL;63732349;9;1430;;828
Лопатка для торта с отделкой под розовое золото, 25х6х5 см;GA3038;63732350;7;1540;;858
Менажница с 3-мя секциями с отделкой под золото/серебро 27х18 см;GA-VEN6004;93428960;;6890;;3863
Менажница с 3-мя секциями с отделкой под серебро 27х18 см;GA-VEN2004;93428957;;4980;;3269
"Набор для водки из 6 стопок ""Спаниель"", 0.05 л";GA2226011;63732356;;5690;;3175
Набор для чая на 2 персоны Del Treno (silver);GA2069801AL;37006598;0;7330;;4077
"Набор из 6-стопок для водки ""Лошадь"", 0.03л";GA2120300AL;37006606;;10990;;6124
"Набор из 6-стопок для водки ""Медведь"", 0.03л";GA2120800AL;37006608;;16390;;9120
"Набор из штофа и 2-х стаканов для виски ""Спаниель"", 0.7 л/0.3 л";GA2226008;63732354;;12100;;6773
"Набор из штофа и 6-ти стаканов для виски ""Спаниель"", 0.7 л/0.3 л";GA2226007;63732355;;22590;;12568
"Набор из штофа и 6-ти стопок для водки ""Спаниель"", 0.5 л/0.05 л";GA2226010;63732357;;11900;;6615
"Набор из штофа, 6 стопок для водки и подноса ""Спаниель"", 0.5 л/0.05 л";GA2226009;63732358;;20190;;11245
"Подсвечник ""Венеция"" d=12 см.";GA2063300AL;17595385;;3800;;2128
Рамка для фотографий Сваровски 19х14 см (для фото 10х15 см);GA2000430AL;63732363;;2400;;1356
"Статуэтка ""Ангел с голубем"", 13 см";GA2206500AL;63732362;;2600;;1469
"Статуэтка ""Йоркширский терьер"", 9х5х8 см";GA2226002;63732359;2;4090;;2315
"Статуэтка ""Мальчик с красным сердцем"", 13 см";GA2206700AL;37006616;4;2090;;1175
"Статуэтка ""Обезьяна"", 6х11 см";GA2206300AL;37006613;;3290;;1837
"Статуэтка ""Спаниель"", 10х4х9 см";GA2226001;63732360;2;3300;;1852
"Статуэтка ""Такса"", 8х5х8 см";GA2226003;63732361;;2600;;1481
"Статуэтка 3 в 1 ""Не вижу - Не слышу - Не говорю"", 12х10 см";GA2204100AL;37006610;;5490;;3062
Сухарница с отделкой под розовое золото, 21 см, h6 см;GA35906;63732351;3;4990;;2788
"Чайный набор на 2 персоны ""Ричоло"" (серебро)(2чашки 0,2л, 2 блюдца, 2 ложки)";GA2005300AL;17595487;;7700;;4331
Чайный набор на 2 персоны, 6 пр.;GA-VEN6007;93428961;0;11290;;6315
Чайный набор на 2 персоны, 6 пр.;GA-VEN2007;93428958;0;7990;;5572
"Шкатулка с фоторамкой 11,5х9 см  (для фото 7х5 см)""Жемчужина""";GA2043700AL;17595442;;2790;;1581
"Ваза ""Perlato"" 21.5х21.5х10 см";GA3271800;93428969;14;4560;;2746
"Ваза для цветов ""Perlato"" 30х13х13 см";GA3271600;93428968;7;10940;;4892
"Набор из 2-х бокалов для шампанского ""Perlato"" 0.225 л";GA3270200;93428967;6;7460;;3347
"Набор бокалов для шампанского ""Регина Сваровски"", 2 шт.";GA3050100AL;63732321;0;4600;;2592
"Банка с крышкой ""Шеффилд""";GA8128500AL;37006634;;4700;;2650
Чайный набор Stradivari с отделкой под розовое золото;GA3207600;63732322;3;5190;;2942
"Чайный набор ан 1 персону ""Stradivari""";GA6207600AL;52301221;2;6130;;3433
"Чайный набор на 1 персону ""Stradivari""";GA2207600AL;52301225;2;5430;;3047
"Чайный набор на 1 персону ""Stradivari"", отд. золото, 2 пр.";GA6207600/1;93428971;0;5280;;3433
"Чайный набор на 1 персону ""Stradivari"", отд. серебро, 2 пр.";GA2207600/1;93428963;0;6290;;3047
"Чайный набор на 2 персоны ""Stradivari""";GA6207700AL;52301222;3;10900;;6073
"Чайный набор на 2 персоны ""Stradivari""";GA2207700AL;52301226;;10010;;5573
"Чайный набор на 2 персоны ""Stradivari"", отд. золото, 4 пр.";GA6207700/1;93428972;0;10900;;6073
"Чайный набор на 2 персоны ""Stradivari"", отд. серебро, 4 пр.";GA2207700/1;93428964;0;9700;;5573
Чайный набор на 2 персоны Stradivari с отделкой под розовое золото;GA3207700;63732323;;9030;;5047
"Чайный набор на 6 персон ""Stradivari""";GA6207500AL;52301223;3;36610;;20387
"Чайный набор на 6 персон ""Stradivari""";GA2207500AL;52301227;7;32830;;18241
"Чайный набор на 6 персон ""Stradivari"", отд. золото, 12 пр.";GA6207500/1;93428970;0;29970;;20387
"Набор из 6 стопок для водки ""Кабан"" в подарочной упаковке 0.05 л";GA2226018;93428966;999;9450;;4206
"Набор из штофа и 6-ти стопок для водки ""Кабан"" 0.5 л + 0.075 л";GA2220700-R;93428965;999;16160;;7210
Кофейный набор на 6 персон Экстра-люкс, 20 пр.;GA20591AL;63732324;0;17960;;9978
Кофейный набор на 6 персон Экстра-люкс, 20 пр. (с отделкой под розовое золото);GA3059101;63732325;10;19550;;10878
Набор для виски: штоф 0.75 л + 2 стакана 0.25л (подарочная коробка);GA2041200AL;68164516;;9190;;5139
"Набор для водки: штоф и 6 стопок ""Россия"" (золото), 75 мл";GA6963AL;63732326;2;14300;;7994
"Набор из 6 стопок для водки ""Россия"" (золото), 75 мл";GA6957AL;63732327;5;7000;;3132
"Набор из штофа и 2-х стопок для водки ""Медведь"", 0.2 л/25 мл";GA2220400AL;63732328;;7000;;3911
"Набор из штофа и 2-х стопок для водки ""Спаниель"", 0.2 л/25 мл";GA2220500AL;63732329;;4700;;2626
"Набор из штофа и 2-х стопок для водки ""Спаниель"", 0.2 л/25 мл";GA2220200AL;63732330;;3690;;2101
"Набор из штофа и 6-ти стопок для водки ""Кабан"", 0.5 л/75 мл";GA2220700AL;63732331;;16160;;9013
"Набор из штофа и 6-ти стопок для водки ""Медведь"", 0.5 л/75 мл";GA2220800AL;63732332;;16160;;7210
"Набор из штофа и 6-ти стопок для водки ""Спаниэль"", 0.5 л/75 мл";GA2220900AL;63732333;;11800;;6600
"Набор стопок для водки 2 шт ""Россини"" (Лошадь), 0.05л";GA2120400AL;68164519;;3090;;1724
"Бокал для коньяка на подставке с подогревателем ""Корона""";GA2007300AL;63732334;13;4630;;2618
"Набор из 6 бокалов для вина ""Регина Сваровски""";GA3052600AL;17595630;10;12730;;7081
"Набор из 6 бокалов для виски ""Регина Сваровски""";GA3053200AL;17595632;12;11540;;6438
"Набор из 6 рюмок для ликера ""Регина Сваровски""";GA3052700AL;17595631;2;9990;;5579
"Набор из 6 стопок(0,05л) для водки ""Регина Сваровски""";GA3053300AL;17595633;15;7670;;4292
Чайный набор на 2 персоны Ричоло (золото);GA6005300AL;63732352;;8700;;4842
Чайный набор на 2 персоны Ричоло с отделкой под розовое золото;GA3005300;63732353;;7690;;4308
"Набор для водки: штоф (0,7 л.) + 6 стопок (0,075 л.) ""Россия"" (серебро)";GA2963AL;17595648;4;13020;;7252
"Набор из 6 стопок для водки (0,075 л.) ""Россия"" (серебро)";GA2957AL;17595646;;6390;;2845
Бокал для коньяка 0.5л с подогревателем на подставке Петух, 22х15х15 см;GA2210200AL;52301228;;10190;;5717
Набор из 2-х стопок для водки Петух, 0.03 л;GA2210400AL;52301229;;4600;;2599
Набор из 6 чайных ложек Петух;GA2210900AL;52301230;4;4900;;2772
Статуэтка Петух, 8 см, h10.5 см;GA2210100AL;52301231;;2890;;1617
"Статуэтка ""Лошадь"" (серебр), 13см";GA2100400AL;68164521;;2290;;1303
"Свеча декоративная в стекянной банке ""Шеффилд""";GA8124100AL;20747403;;1700;;972
"Кофейный набор на 6 персон ""Экстра-люкс"", 12 пр.";GA2059101LB;93428962;;17950;;9978
"Бутылка для масла (круглая) ""Перец чили"", 0.4 л";CV2-T09-06000-AL;43974186;;1290;;723
"Бутылка для масла (круглая) ""Розмарин и сельдерей"", 0.4 л";CV2-T09-06023-AL;43974187;;2490;;1413
"Бутылка для масла (круглая) ""Томаты и перцы"", 0.4 л";CV2-T09-06021-AL;43974188;;1290;;723
"Диффузор ""Гармония"", 10x10x12 см";CV2-H05-00019-AL;43974189;;1500;;851
"Диффузор ""Лимоны"", 10x10x12 см";CV2-H05-00027-AL;43974190;;1500;;851
"Диффузор ""Магнолия"", 10x10x12 см";CV2-H05-00038-AL;43974191;;1900;;1064
"Диффузор ""Орхидея"", 10x10x12 см";CV2-H05-00014-AL;43974192;;1900;;1064
"Кружка ""Лето"", 0.25 л";CV2-4342-AL;63732283;;390;;249
"Тарелка десертная ""Лето"", 22х22 см";CV2-4348.2-AL;63732284;;500;;311
"Тарелка суповая ""Лето"", 20.5х20.5 см";CV2-4348.1-AL;63732285;;590;;361
"Чайник ""Лето"", 1 л";CV2-4343-AL;63732286;;800;;487
"Банка для сыпучих продуктов (кофе) ""Фреско"", 0.65 л";CV2-T08-98048-AL;43974193;;1200;;691
"Банка для сыпучих продуктов (сахар) ""Фреско"", 0.65 л";CV2-T08-97048-AL;43974194;;1200;;691
"Банка для сыпучих продуктов (чай) ""Фреско"", 0.65 л";CV2-T08-99048-AL;43974195;;1200;;691
"Блюдо для торта ""Фреско"", 31 см";CV2-T02-18048-AL;43974196;;2900;;1646
"Блюдо круглое ""Фреско"", 21 см";CV2-T11-08048-AL;43974197;;1100;;628
"Бутылка для масла (круглая) ""Фреско"", 0.4 л";CV2-T09-06048-AL;43974198;18;1290;;723
"Ваза для фруктов ""Фреско"", 40x18x8.5 см";CV2-T06-02048-AL;43974199;;2200;;1277
"Ваза для цветов ""Фреско"", 26 см";CV2-H01-11048-AL;43974200;;2990;;1686
"Диффузор ""Фреско"", 10х10х12 см";CV2-H05-00048-AL;43974201;;1190;;681
"Кружка ""Фреско"", 0.25 л";CV2-T07-06048-AL;43974202;7;600;;365
"Кувшин ""Фреско"", 1.2 л";CV2-T01-18048-AL;43974203;;1690;;990
"Ложка-подставка ""Фреско"", 28 см";CV2-T11-04048-AL;43974204;;1190;;702
"Набор для закуски (менажница): блюдо + 6 блюд ""Фреско"", 38 см";CV2-T05-00048-AL;43974205;;4700;;2650
"Подставка под кухонные инструменты ""Фреско"", 12х12х16 см";CV2-T11-01048-AL;43974206;;1500;;851
"Салатник ""Фреско"", 25 см";CV2-T03-05048-AL;43974207;;2400;;1363
"Салатник ""Фреско"", большой, 35 см";CV2-T03-06048-AL;43974208;;2900;;1663
"Сахарница ""Фреско"", 0.35 л";CV2-T07-10048-AL;43974209;2;1000;;561
"Тарелка десертная ""Фреско"", 20 см";CV2-T01-06048-AL;43974210;6;800;;489
"Тарелка обеденная ""Фреско"", 29 см";CV2-T01-07048-AL;43974211;6;1490;;846
"Тарелка суповая ""Фреско"", 24 см";CV2-T01-05048-AL;43974212;5;1000;;568
"Чайник ""Фреско"", 1 л";CV2-T07-11048-AL;43974213;;1700;;958
"Часы настенные ""Фреско"", 33х20 см";CV2-H03-00048-AL;43974214;;2200;;1256
"Чашка с блюдцем ""Фреско"", 0.25 л";CV2-T07-04048-AL;43974215;;990;;570
"Ваза для цветов 33 см. ""Damasco""";DEL744/BP-AL;16719161;;11100;;6182
"Ваза для цветов 40 см. ""Damasco""";DEL743/BP-AL;16719162;;14200;;7929
"Декоративная ваза  19х35 см. ""Damasco""";DEL750/BP-AL;16719163;;14890;;8332
"Декоративное блюдо на ножке 28,5 см. ""Damasco""";DEL746/BP-AL;16719164;;14200;;7929
"Колонна 87 см. ""Damasco""";DEL748/BP-AL;16719165;;39990;;22256
"Настольная лампа 56 см. (+ абажур) ""Damasco""";DEL742/BP-AL;16719167;;26790;;14918
"Настольные часы 52 см. ""Damasco""";DEL747/BP-AL;16719168;;35100;;19547
"Декоративная ваза  40см ""Damasco Swarowsky Cream""";DEL743/COS-AL;16719169;;21200;;11827
"Декоративная ваза 19х35см ""Damasco Swarowsky Cream""";DEL750/COS-AL;16719170;;17190;;9596
"Колонна 87 см.""Damasco Swarowsky Cream""";DEL748/COS-AL;16719172;;71510;;39750
"Настольная лампа  67см ""Damasco Swarowsky Cream""";DEL741/COS-AL;16719173;;32490;;18095
"Настольные часы 53см ""Damasco Swarowsky Cream""";DEL747/COS-AL;16719176;;39000;;21719
"Декоративная ваза  19х35см ""Damasco Swarowsky Tortora""";DEL750/TOS-AL;16719177;;16890;;9408
"Декоративная ваза  40см ""Damasco Swarowsky Tortora""";DEL743/TOS-AL;16719178;;15390;;8601
"Колонна 87 см.""Damasco Swarowsky Tortora""";DEL748/TOS-AL;16719179;;57780;;32121
"Настольная лампа  67см ""Damasco Swarowsky Tortora""";DEL741/TOS-AL;16719181;;34790;;19353
"Настольные часы 53см  ""Damasco Swarowsky Tortora""";DEL747/TOS-AL;16719183;;39000;;21719
"Декоративная ваза  40см ""Damasco Swarowsky White""";DEL743/BPS-AL;16719184;;15390;;8601
"Декоративная ваза 19х35см ""Damasco Swarowsky White""";DEL750/BPS-AL;16719185;;16890;;9408
"Колонна 87 см.""Damasco Swarowsky White""";DEL748/BPS-AL;16719186;;52000;;28909
"Настольная лампа  67см ""Damasco Swarowsky White""";DEL741/BPS-AL;16719188;;34790;;19353
"Настольные часы  53см ""Damasco Swarowsky White""";DEL747/BPS-AL;16719189;;43900;;24433
"Блюдо декоративное 38см, h 22см  ""Murano Cream Gold""";DEL849/COS-AL;18793850;;19690;;10967
"Ваза декоративная  37см ""Murano Cream Gold""";DEL843/COS-AL;18793845;;28600;;15892
"Ваза декоративная 30см  ""Murano Cream Gold""";DEL844/COS-AL;18793846;;23190;;12936
"Ваза декоративная на ножке  33см ""Murano Cream Gold""";DEL845/COS-AL;18793847;;25190;;14013
"Зеркало настенное круглое 48см  ""Murano Cream Gold""";DEL850/COS-AL;18793851;;39290;;21840
"Колонна 88см  ""Murano Cream Gold""";DEL847/COS-AL;18793848;;87100;;48417
"Настольная лампа h 63см  ""Murano Cream Gold""";DEL842/COS-AL;18793844;;46010;;25604
"Часы настольные 35см, h 52см  ""Murano Cream Gold""";DEL848/COS-AL;18793849;;38400;;21349
"Блюдо декоративное 38см, h 22см  ""Murano Tortora White""";DEL849/TOB-AL;18793858;;13900;;7741
"Ваза декоративная  30см ""Murano Tortora White""";DEL844/TOB-AL;18793854;;21090;;11760
"Ваза декоративная  37см ""Murano Tortora White""";DEL843/TOB-AL;18793853;;26000;;14448
"Ваза декоративная на ножке  33см, h 23см ""Murano Tortora White""";DEL845/TOB-AL;18793855;;27800;;15456
"Зеркало настенное   круглое 48см ""Murano Tortora White""";DEL850/TOB-AL;18793859;;20100;;11182
"Колонна  88см ""Murano Tortora White""";DEL847/TOB-AL;18793856;;79180;;44016
"Настольная лампа  h 63см ""Murano Tortora White"" h 63см";DEL842/TOB-AL;18793852;;49200;;27384
"Часы настольные  35см, h 52см ""Murano Tortora White""";DEL848/TOB-AL;18793857;;42280;;23546
"Ваза декоративная 32см ""Raffaello"", малая";DEL924/CO-AL;37067438;;12900;;7180
"Ваза декоративная 36см ""Raffaello""";DEL923/CO-AL;37067439;;16800;;9335
"Ваза декоративная на ножке 38см, h 26см ""Raffaello""";DEL925/CO-AL;37067440;;29190;;16228
"Колонна 86см ""Raffaello""";DEL927/CO-AL;37067441;;65400;;36334
"Настольная лампа 60см (+ абажур) ""Raffaello"", малая";DEL924/L/CO-AL;37067442;;32490;;18095
"Настольная лампа 70см (+ абажур) ""Raffaello""";DEL921/CO-AL;37067443;;35090;;19531
"Ваза декоративная на ножке 42см, h 28см ""Topazio Cream Gold""";DEL537/COR-AL;37067444;;32600;;18144
"Колонна 90см ""Topazio Cream Gold""";DEL538/COR-AL;37067445;;46090;;25665
"Настольная лампа 66см (+ абажур) ""Topazio Cream Gold""";DEL531/COR-AL;37067446;;25500;;14192
"Настольная лампа h 48см (+ абажур) ""Topazio Cream Gold"", малая";DEL532/COR-AL;37067447;;21200;;11827
"Декоративная ваза 33см  ""Глициния кремовая""";DEL864/COS-AL;16719207;;17800;;9900
"Декоративная ваза 33см , h 20см  ""Глициния кремовая""";DEL865/COS-AL;16719209;;23490;;13099
"Декоративная ваза 38см  ""Глициния кремовая""";DEL863/COS-AL;16719210;;21200;;11827
"Колонна h 90см ""Глициния кремовая""";DEL867/COS-AL;16719211;;83410;;46368
"Настольная лампа 54см  ""Глициния кремовая""";DEL862/COS-AL;16719212;;34300;;19071
"Настольная лампа 69см ""Глициния кремовая""";DEL861/COS-AL;16719214;;57480;;31955
"Часы настольные 35см, h50 см ""Глициния кремовая""";DEL868/COS-AL;29035387;;73980;;41126
"Ваза для цветов 37 см. ""Нефрит""";DEL772/RCO-AL;16719234;;19600;;10903
"Декоративная ваза 27х30 см.""Нефрит""";DEL773/RCO-AL;16719236;;17790;;9905
"Колонна 85 см.""Нефрит""";DEL775/RCO-AL;16719237;;60100;;33411
"Настольная лампа (+абажур) 70см ""Нефрит""";DEL770/RCO-AL;16719238;;48780;;27165
"Настольная лампа 40 см.(+абажур) ""Нефрит""";DEL771/RCO-AL;16719240;;39490;;21991
"Настольные часы 44х35х20 см.""Нефрит""";DEL774/RCO-AL;16719247;;67200;;37379
"Кастрюля эмалированная ""Прованс"" 1.9 л, 18 см";EJ-PVR-18W;93428863;14;4300;;2983
"Кастрюля эмалированная ""Прованс"" 2.6 л, 20 см";EJ-PVR-20W;93428865;0;4980;;3335
"Кастрюля эмалированная ""Прованс"" 4.3 л, 20 см";EJ-PVR-20DW;93428864;0;5480;;3822
"Ковш эмалированный ""Прованс"" 1.5 л, 16 см";EJ-PVR-16S;93428862;999;5090;;3408
"Набор из 3-х мисок эмал. с крышками ""Прованс"" 14/16/18 см";EJ-EPVTR-300;93428856;999;3990;;2693
"Чайник эмалированный ""Прованс"" 1.3 л";EJ-PVR-1.6K;93428861;0;5290;;3501
"Кастрюля эмалированная ""Фрукты"" 1.9 л, 18 см";EJ-FTCR-18W;93428858;999;4290;;2838
"Кастрюля эмалированная ""Фрукты"" 2.6 л, 20 см";EJ-FTCR-20W;93428859;999;4980;;3190
"Кастрюля эмалированная ""Фрукты"", крышка стекло, 3.6 л, 23 см";EJ-FTCR-23FW;93428860;999;5980;;4340
"Ковш эмалированный ""Фрукты"" 1.5 л, 16 см";EJ-FTCR-16S;93428857;999;4980;;3263
"Столовый сервиз на 6 персон ""Анжелика"", 27 пр.";EM-13-24/27-AL;44332973;;14190;;7906
"Чайный сервиз на 12 персон ""Анжелика"", 40 пр.";EM-13-24/40-AL;44332974;;17390;;9676
"Столовый сервиз на 12 персон ""Антуанетта"", 50 пр.";AL-14-603/50-E5;68164383;0;36200;;20134
"Столовый сервиз на 6 персон ""Антуанетта"", 27 пр.";AL-14-603/27-E5;68164379;999;19400;;8627
"Чайный сервиз на 12 персон ""Антуанетта"", 40 пр.";AL-14-603/40-E5;68164387;19;21190;;9458
"Чайный сервиз на 6 персон ""Антуанетта"", 21 пр.";AL-14-603/21-E5;68164385;999;11890;;5312
"Столовый сервиз на 12 персон ""Белгравия"", 50 пр.";AL-G10Q04/50M-E6;68164391;0;35590;;19832
"Столовый сервиз на 6 персон ""Белгравия"", 27 пр.";AL-G10Q04/27M-E6;68164389;999;18290;;10212
"Чайный сервиз на 12 персон ""Белгравия"", 40 пр.";AL-G10Q04-02/40M-E6;68164397;2;21500;;11953
"Чайный сервиз на 6 персон ""Белгравия"", 21 пр.";AL-G10Q04-02/21M-E6;68164393;999;11000;;6116
Кружка Белла;E8-072/M-AL;44332969;;500;;326
"Чайный сервиз на 6 персон ""Белла"", 21 пр.";E8-072/21-AL;44332967;;8100;;4516
Чашка с блюдцем Белла;E8-072/2-AL;44332968;;990;;579
"Столовый сервиз на 6 персон ""Белый город"", 27 пр.";AL-SM077/27-E6;84686331;999;23090;;12883
"Чайный сервиз на 6 персон ""Белый город"", 21 пр.";AL-SM077/21-E6;84686332;999;11110;;6190
"Столовый сервиз на 12 персон ""Блэкпул"", 50 пр.";AL-XR15C17G/50M-E6;68164403;;33090;;18435
"Столовый сервиз на 6 персон ""Блэкпул"", 27 пр.";AL-XR15C17G/27M-E6;68164400;;17900;;9967
"Чайный сервиз на 12 персон ""Блэкпул"", 40 пр.";AL-XR15C17G/40M-E6;68164409;;22300;;12405
"Чайный сервиз на 6 персон ""Блэкпул"", 21 пр.";AL-XR15C17G/21M-E6;68164405;;11590;;6479
"Столовый сервиз на 12 персон ""Бостон"", 50 пр.";AL-16908/50-E5;68164416;0;37100;;20616
"Столовый сервиз на 6 персон ""Бостон"", 27 пр.";AL-16908/27-E5;68164414;2;19800;;11043
"Чайный набор на 1 персоу ""Бостон"", 2 пр., 0.2 л";AL-16908/CS-E5;68164423;999;1200;;708
"Чайный набор на 6 персон ""Бостон"", 12 пр., 0.2 л";AL-16908/12-E5;68164412;17;5700;;3219
"Чайный сервиз на 12 персон ""Бостон"", 40 пр.";AL-16908/40-E5;68164421;9;21690;;12100
"Чайный сервиз на 6 персон ""Бостон"", 21 пр.";AL-16908/21-E5;68164418;14;12190;;6796
"Столовый сервиз на 12 персон ""Бостон Голд"", 50 пр.";AL-16908/50G-E5;68164428;0;37100;;20616
"Столовый сервиз на 6 персон ""Бостон Голд"", 27 пр.";AL-16908/27G-E5;68164426;999;19800;;11043
"Чайный сервиз на 12 персон ""Бостон Голд"", 40 пр.";AL-16908/40G-E5;68164433;12;21690;;12100
"Чайный сервиз на 6 персон ""Бостон Голд"", 21 пр.";AL-16908/21G-E5;68164431;999;12190;;6796
"Столовый набор на 6 персон ""Венок"", 21 пр.";AL-20171036/21-E10;84686333;0;10620;;5905
"Чайный набор на 6 персон ""Венок"", 14 пр.";AL-20171036/14-E10;84686334;999;6150;;3418
"Столовый набор на 6 персон ""Вероника"", 19 пр.";AL-20170423/19-E10;84686336;0;11740;;6526
"Чайный набор на 6 персон ""Вероника"", 14 пр.";AL-20170423/14-E10;84686337;999;6150;;3418
"Столовый сервиз на 12 персон ""Волна"", 50 пр.";AL-17052/50-E5;68164436;;33600;;18670
"Столовый сервиз на 6 персон ""Волна"", 27 пр.";AL-17052/27-E5;68164435;;17690;;9871
"Чайный набор на 6 персон ""Волна"", 12 пр., 0.09 л";AL-17052/12C-E5;68164434;;4890;;2746
"Чайный сервиз на 12 персон ""Волна"", 40 пр.";AL-17052/40-E5;68164438;;19600;;10944
"Чайный сервиз на 6 персон ""Волна"", 21 пр.";AL-17052/21-E5;68164437;;11200;;6223
"Кружка  ""Гармония"", 0.3 л";E9-M1789/M-AL;49655534;;500;;284
"Кружка ""Гармония"", 0.3 л";AL-M1789/M-E9;60317684;;490;;319
"Столовый сервиз на 6 персон ""Гармония"", 27 пр.";AL-M1789/27-E9;57120219;;21800;;12159
"Столовый сервиз на 6 персон ""Гармония"", 27 пр.";E9-M1789/27-AL;49655531;;21800;;12159
"Чайный набор на 1 персону ""Гармония"", 0.25 л, 2 пр.";E9-M1789/CS-AL;49655532;;890;;545
"Чайный набор на 6 персон ""Гармония"", 0.2 л, 12 пр.";AL-M1789/12-E9;60317681;;6300;;3522
"Чайный набор на 6 персон ""Гармония"", 0.25 л, 12 пр.";E9-M1789/12-AL;49655529;;5600;;3141
"Чайный сервиз на 6 персон ""Гармония"", 21 пр.";E9-M1789/21-AL;49655530;;12790;;7114
